district_name,office_title,district_type,district_locale_name,zip,state
Los Angeles County,Sheriff,county,los_angeles,90001,CA
Los Angeles County,Assessor,county,los_angeles,90001,CA
Los Angeles County,District Attorney,county,los_angeles,90001,CA
Los Angeles County,Sheriff,county,los_angeles,90002,CA
Los Angeles County,Assessor,county,los_angeles,90002,CA
Los Angeles County,District Attorney,county,los_angeles,90002,CA
Los Angeles County,Sheriff,county,los_angeles,90003,CA
Los Angeles County,Assessor,county,los_angeles,90003,CA
Los Angeles County,District Attorney,county,los_angeles,90003,CA
Los Angeles city,Mayor,place,los_angeles,90003,CA
Los Angeles city,Controller,place,los_angeles,90003,CA
Los Angeles city,City Attorney,place,los_angeles,90003,CA
Los Angeles County,Sheriff,county,los_angeles,90004,CA
Los Angeles County,Assessor,county,los_angeles,90004,CA
Los Angeles County,District Attorney,county,los_angeles,90004,CA
Los Angeles city,Mayor,place,los_angeles,90004,CA
Los Angeles city,Controller,place,los_angeles,90004,CA
Los Angeles city,City Attorney,place,los_angeles,90004,CA
Los Angeles County,Sheriff,county,los_angeles,90005,CA
Los Angeles County,Assessor,county,los_angeles,90005,CA
Los Angeles County,District Attorney,county,los_angeles,90005,CA
Los Angeles city,Mayor,place,los_angeles,90005,CA
Los Angeles city,Controller,place,los_angeles,90005,CA
Los Angeles city,City Attorney,place,los_angeles,90005,CA
Los Angeles County,Sheriff,county,los_angeles,90006,CA
Los Angeles County,Assessor,county,los_angeles,90006,CA
Los Angeles County,District Attorney,county,los_angeles,90006,CA
Los Angeles city,Mayor,place,los_angeles,90006,CA
Los Angeles city,Controller,place,los_angeles,90006,CA
Los Angeles city,City Attorney,place,los_angeles,90006,CA
Los Angeles County,Sheriff,county,los_angeles,90007,CA
Los Angeles County,Assessor,county,los_angeles,90007,CA
Los Angeles County,District Attorney,county,los_angeles,90007,CA
Los Angeles city,Mayor,place,los_angeles,90007,CA
Los Angeles city,Controller,place,los_angeles,90007,CA
Los Angeles city,City Attorney,place,los_angeles,90007,CA
Los Angeles County,Sheriff,county,los_angeles,90008,CA
Los Angeles County,Assessor,county,los_angeles,90008,CA
Los Angeles County,District Attorney,county,los_angeles,90008,CA
Los Angeles County,Sheriff,county,los_angeles,90009,CA
Los Angeles County,Assessor,county,los_angeles,90009,CA
Los Angeles County,District Attorney,county,los_angeles,90009,CA
Los Angeles city,Mayor,place,los_angeles,90009,CA
Los Angeles city,Controller,place,los_angeles,90009,CA
Los Angeles city,City Attorney,place,los_angeles,90009,CA
Los Angeles County,Sheriff,county,los_angeles,90010,CA
Los Angeles County,Assessor,county,los_angeles,90010,CA
Los Angeles County,District Attorney,county,los_angeles,90010,CA
Los Angeles city,Mayor,place,los_angeles,90010,CA
Los Angeles city,Controller,place,los_angeles,90010,CA
Los Angeles city,City Attorney,place,los_angeles,90010,CA
Los Angeles County,Sheriff,county,los_angeles,90011,CA
Los Angeles County,Assessor,county,los_angeles,90011,CA
Los Angeles County,District Attorney,county,los_angeles,90011,CA
Los Angeles city,Mayor,place,los_angeles,90011,CA
Los Angeles city,Controller,place,los_angeles,90011,CA
Los Angeles city,City Attorney,place,los_angeles,90011,CA
Los Angeles County,Sheriff,county,los_angeles,90012,CA
Los Angeles County,Assessor,county,los_angeles,90012,CA
Los Angeles County,District Attorney,county,los_angeles,90012,CA
Los Angeles city,Mayor,place,los_angeles,90012,CA
Los Angeles city,Controller,place,los_angeles,90012,CA
Los Angeles city,City Attorney,place,los_angeles,90012,CA
Los Angeles County,Sheriff,county,los_angeles,90013,CA
Los Angeles County,Assessor,county,los_angeles,90013,CA
Los Angeles County,District Attorney,county,los_angeles,90013,CA
Los Angeles city,Mayor,place,los_angeles,90013,CA
Los Angeles city,Controller,place,los_angeles,90013,CA
Los Angeles city,City Attorney,place,los_angeles,90013,CA
Los Angeles County,Sheriff,county,los_angeles,90014,CA
Los Angeles County,Assessor,county,los_angeles,90014,CA
Los Angeles County,District Attorney,county,los_angeles,90014,CA
Los Angeles city,Mayor,place,los_angeles,90014,CA
Los Angeles city,Controller,place,los_angeles,90014,CA
Los Angeles city,City Attorney,place,los_angeles,90014,CA
Los Angeles County,Sheriff,county,los_angeles,90015,CA
Los Angeles County,Assessor,county,los_angeles,90015,CA
Los Angeles County,District Attorney,county,los_angeles,90015,CA
Los Angeles city,Mayor,place,los_angeles,90015,CA
Los Angeles city,Controller,place,los_angeles,90015,CA
Los Angeles city,City Attorney,place,los_angeles,90015,CA
Los Angeles County,Sheriff,county,los_angeles,90016,CA
Los Angeles County,Assessor,county,los_angeles,90016,CA
Los Angeles County,District Attorney,county,los_angeles,90016,CA
Los Angeles city,Mayor,place,los_angeles,90016,CA
Los Angeles city,Controller,place,los_angeles,90016,CA
Los Angeles city,City Attorney,place,los_angeles,90016,CA
Los Angeles County,Sheriff,county,los_angeles,90017,CA
Los Angeles County,Assessor,county,los_angeles,90017,CA
Los Angeles County,District Attorney,county,los_angeles,90017,CA
Los Angeles city,Mayor,place,los_angeles,90017,CA
Los Angeles city,Controller,place,los_angeles,90017,CA
Los Angeles city,City Attorney,place,los_angeles,90017,CA
Los Angeles County,Sheriff,county,los_angeles,90018,CA
Los Angeles County,Assessor,county,los_angeles,90018,CA
Los Angeles County,District Attorney,county,los_angeles,90018,CA
Los Angeles city,Mayor,place,los_angeles,90018,CA
Los Angeles city,Controller,place,los_angeles,90018,CA
Los Angeles city,City Attorney,place,los_angeles,90018,CA
Los Angeles County,Sheriff,county,los_angeles,90019,CA
Los Angeles County,Assessor,county,los_angeles,90019,CA
Los Angeles County,District Attorney,county,los_angeles,90019,CA
Los Angeles city,Mayor,place,los_angeles,90019,CA
Los Angeles city,Controller,place,los_angeles,90019,CA
Los Angeles city,City Attorney,place,los_angeles,90019,CA
Los Angeles County,Sheriff,county,los_angeles,90020,CA
Los Angeles County,Assessor,county,los_angeles,90020,CA
Los Angeles County,District Attorney,county,los_angeles,90020,CA
Los Angeles city,Mayor,place,los_angeles,90020,CA
Los Angeles city,Controller,place,los_angeles,90020,CA
Los Angeles city,City Attorney,place,los_angeles,90020,CA
Los Angeles County,Sheriff,county,los_angeles,90021,CA
Los Angeles County,Assessor,county,los_angeles,90021,CA
Los Angeles County,District Attorney,county,los_angeles,90021,CA
Los Angeles city,Mayor,place,los_angeles,90021,CA
Los Angeles city,Controller,place,los_angeles,90021,CA
Los Angeles city,City Attorney,place,los_angeles,90021,CA
Los Angeles County,Sheriff,county,los_angeles,90022,CA
Los Angeles County,Assessor,county,los_angeles,90022,CA
Los Angeles County,District Attorney,county,los_angeles,90022,CA
Los Angeles city,Mayor,place,los_angeles,90022,CA
Los Angeles city,Controller,place,los_angeles,90022,CA
Los Angeles city,City Attorney,place,los_angeles,90022,CA
Los Angeles County,Sheriff,county,los_angeles,90023,CA
Los Angeles County,Assessor,county,los_angeles,90023,CA
Los Angeles County,District Attorney,county,los_angeles,90023,CA
Los Angeles County,Sheriff,county,los_angeles,90024,CA
Los Angeles County,Assessor,county,los_angeles,90024,CA
Los Angeles County,District Attorney,county,los_angeles,90024,CA
Los Angeles County,Sheriff,county,los_angeles,90025,CA
Los Angeles County,Assessor,county,los_angeles,90025,CA
Los Angeles County,District Attorney,county,los_angeles,90025,CA
Los Angeles County,Sheriff,county,los_angeles,90026,CA
Los Angeles County,Assessor,county,los_angeles,90026,CA
Los Angeles County,District Attorney,county,los_angeles,90026,CA
Los Angeles city,Mayor,place,los_angeles,90026,CA
Los Angeles city,Controller,place,los_angeles,90026,CA
Los Angeles city,City Attorney,place,los_angeles,90026,CA
Los Angeles County,Sheriff,county,los_angeles,90027,CA
Los Angeles County,Assessor,county,los_angeles,90027,CA
Los Angeles County,District Attorney,county,los_angeles,90027,CA
Los Angeles city,Mayor,place,los_angeles,90027,CA
Los Angeles city,Controller,place,los_angeles,90027,CA
